id,Country
276,Germany
826,United Kingdom
643,Russian Federation
008,Albania
840,United States
356,India
788,Tunisia
724,Spain
528,Netherlands
250,France
056,Belgium
620,Portugal
124,Canada
156,China
804,Ukraine
380,Italy
076,Brazil
040,Austria
484,Mexico
752,Sweden
616,Poland
360,Indonesia
300,Greece
376,Israel
203,Czech Republic
070,Bosnia and Herzegovina
100,Bulgaria
688,Serbia
756,Switzerland
348,Hungary
524,Nepal
705,Slovenia
858,Uruguay
208,Denmark
586,Pakistan
158,Taiwan
642,Romania
246,Finland
188,Costa Rica
566,Nigeria
152,Chile
792,Turkey
591,Panama
372,Ireland
233,Estonia
608,Philippines
036,Australia
604,Peru
196,Cyprus
144,Sri Lanka
404,Kenya
578,Norway
417,Kyrgyzstan
364,Iran
191,Croatia
818,Egypt
032,Argentina
288,Ghana
428,Latvia
504,Morocco
050,Bangladesh
218,Ecuador
332,Haiti
170,Colombia
440,Lithuania
222,El Salvador
340,Honduras
231,Ethiopia
422,Lebanon
800,Uganda
012,Algeria
704,Viet Nam
320,Guatemala
760,Syrian Arab Republic
004,Afghanistan
703,Slovakia
784,United Arab Emirates
112,Belarus
729,Sudan
710,South Africa
400,Jordan
268,Georgia
028,Antigua and Barbuda
682,Saudi Arabia
554,New Zealand
414,Kuwait
051,Armenia
192,Cuba
442,Luxembourg
702,Singapore
031,Azerbaijan
214,Dominican Republic
352,Iceland
833,Isle of Man
860,Uzbekistan
780,Trinidad and Tobago
686,Senegal
020,Andorra
795,Turkmenistan
204,Benin
068,Bolivia
392,Japan
470,Malta
368,Iraq
410,South Korea
600,Paraguay
458,Malaysia
764,Thailand
104,Myanmar
398,Kazakhstan
116,Cambodia
388,Jamaica
558,Nicaragua
462,Maldives
180,Democratic Republic of the Congo
598,Papua New Guinea
512,Oman
454,Malawi
634,Qatar
450,Madagascar
072,Botswana
024,Angola
499,Montenegro
887,Yemen
496,Mongolia
894,Zambia
716,Zimbabwe
434,Libyan Arab Jamahiriya
508,Mozambique
706,Somalia
232,Eritrea
516,Namibia
646,Rwanda
854,Burkina Faso
748,Swaziland
064,Bhutan
120,Cameroon
048,Bahrain
384,Côte d'Ivoire 
694,Sierra Leone
768,Togo
562,Niger
052,Barbados
084,Belize
670,Saint Vincent and the Grenadines
418,Lao People's Democratic Republic
762,Tajikistan
480,Mauritius
324,Guinea
096,Brunei Darussalam
044,Bahamas
478,Mauritania
662,Saint Lucia
262,Djibouti
674,San Marino
426,Lesotho
520,Nauru
108,Burundi
242,Fiji
296,Kiribati
308,Grenada
148,Chad
466,Mali
328,Guyana
270,Gambia
408,North Korea
438,Liechtenstein
492,Monaco
626,Timor-Leste
090,Solomon Islands
132,Cape Verde
266,Gabon
584,Marshall Islands
