22639,17779,14909,17540,8729,9885,5882,15258,5741,3585,9400,6485
20507,19356,14590,16811,8317,9582,6054,13797,5672,3596,8386,6025
15807,13238,17778,15190,7934,9089,5059,10539,4804,3019,7531,5527
10586,8182,8880,16858,5771,4897,2525,6425,5953,3797,7043,4272
10095,7729,8235,10907,10177,4646,2689,6590,4269,2804,5699,6630
8529,7427,7555,7333,3385,10762,1876,6716,3224,1769,3542,2816
8563,7271,6715,7112,3525,3196,5591,5082,2485,1628,3645,2591
8227,7102,5423,5791,3048,4441,1399,9786,1766,1032,3970,2821
5308,4207,4340,7322,3474,3440,1761,3136,5954,3092,3192,2541
4837,3908,4044,6740,3428,2729,1676,2761,4252,4130,3087,2409
2046,1582,1689,2248,974,806,426,1683,909,741,3137,1039
1584,1232,1326,1716,1552,803,428,1350,707,486,1159,2811
