,Unnamed: 0,Abap,Ada,C/C++,C#,Cobol,Dart,Delphi,Go,Groovy,Haskell,Java,JavaScript,Julia,Kotlin,Lua,Matlab,Objective-C,Perl,PHP,Python,R,Ruby,Rust,Scala,Swift,TypeScript,VBA,Visual Basic,Date
0,0,"0,34","0,36","0,101","0,047","0,43",0,"0,028",0,"0,03","0,22","0,304","0,086",0,0,"0,16","0,021","0,19","0,074","0,188","0,025","0,39","0,33","0,08","0,03",0,0,"0,014","0,086","July 1, 2004"
1,1,"0,36","0,36","0,098","0,05","0,46",0,"0,027",0,"0,07","0,2","0,3","0,088",0,0,"0,15","0,021","0,18","0,071","0,193","0,026","0,41","0,4","0,09","0,03",0,0,"0,015","0,086","August 1, 2004"
2,2,"0,41","0,41","0,096","0,051","0,51",0,"0,026",0,"0,08","0,21","0,297","0,087",0,0,"0,19","0,021","0,19","0,07","0,195","0,027","0,4","0,41","0,1","0,03",0,0,"0,015","0,084","September 1, 2004"
3,3,"0,4","0,38","0,095","0,053","0,53",0,"0,028",0,"0,09","0,2","0,291","0,085",0,0,"0,22","0,022","0,2","0,072","0,193","0,029","0,42","0,46","0,11","0,04",0,0,"0,016","0,085","October 1, 2004"
4,4,"0,38","0,38","0,095","0,052","0,55",0,"0,028",0,"0,07","0,24","0,296","0,085",0,0,"0,23","0,022","0,22","0,071","0,194","0,028","0,41","0,45","0,13","0,04",0,0,"0,015","0,082","November 1, 2004"
5,5,"0,36","0,37","0,096","0,052","0,53",0,"0,028",0,"0,09","0,22","0,298","0,086",0,0,"0,21","0,021","0,21","0,07","0,197","0,027","0,4","0,42","0,13","0,04",0,0,"0,015","0,081","December 1, 2004"
6,6,"0,39","0,38","0,097","0,052","0,56",0,"0,026",0,"0,11","0,21","0,297","0,084",0,0,"0,24","0,022","0,19","0,07","0,198","0,029","0,39","0,47","0,15","0,03",0,0,"0,015","0,078","January 1, 2005"
7,7,"0,37","0,39","0,099","0,052","0,49",0,"0,027",0,"0,07","0,21","0,303","0,081",0,0,"0,25","0,023","0,18","0,069","0,196","0,029","0,38","0,45","0,15","0,03",0,0,"0,015","0,077","February 1, 2005"
8,8,"0,34","0,37","0,099","0,054","0,45",0,"0,026",0,"0,08","0,23","0,302","0,083",0,0,"0,23","0,024","0,15","0,069","0,195","0,028","0,42","0,46","0,13","0,03",0,0,"0,014","0,077","March 1, 2005"
9,9,"0,34","0,36","0,098","0,054","0,41",0,"0,026",0,"0,08","0,22","0,305","0,084",0,0,"0,22","0,022","0,13","0,067","0,199","0,028","0,4","0,43","0,11","0,02",0,0,"0,014","0,075","April 1, 2005"
10,10,"0,35","0,37","0,097","0,056","0,4",0,"0,025",0,"0,09","0,23","0,302","0,083",0,0,"0,23","0,022","0,13","0,068","0,199","0,029","0,41","0,47","0,09","0,02",0,0,"0,015","0,077","May 1, 2005"
11,11,"0,35","0,36","0,095","0,058","0,4",0,"0,024",0,"0,08","0,23","0,304","0,083",0,0,"0,24","0,023","0,12","0,066","0,198","0,03","0,41","0,55","0,1","0,01",0,0,"0,015","0,076","June 1, 2005"
12,12,"0,33","0,34","0,093","0,062","0,39",0,"0,025",0,"0,08","0,24","0,304","0,084",0,0,"0,21","0,023","0,13","0,065","0,195","0,03","0,44","0,62","0,11","0,01",0,0,"0,016","0,075","July 1, 2005"
13,13,"0,32","0,31","0,092","0,062","0,4",0,"0,024",0,"0,09","0,25","0,303","0,086",0,0,"0,21","0,021","0,11","0,065","0,197","0,031","0,44","0,66","0,12","0,02",0,0,"0,016","0,074","August 1, 2005"
14,14,"0,36","0,29","0,091","0,062","0,4",0,"0,023",0,"0,08","0,22","0,302","0,084",0,0,"0,26","0,021","0,13","0,066","0,199","0,033","0,45","0,79","0,18","0,01",0,0,"0,016","0,073","September 1, 2005"
15,15,"0,38","0,31","0,087","0,062","0,45",0,"0,024",0,"0,08","0,24","0,302","0,082",0,0,"0,28","0,022","0,14","0,066","0,197","0,035","0,49","0,95","0,16","0,01",0,0,"0,017","0,072","October 1, 2005"
16,16,"0,38","0,28","0,085","0,063","0,45",0,"0,025",0,"0,07","0,25","0,302","0,082",0,0,"0,3","0,023","0,13","0,066","0,196","0,036","0,51","0,011","0,17","0,01",0,0,"0,016","0,069","November 1, 2005"
17,17,"0,39","0,28","0,084","0,065","0,48",0,"0,025",0,"0,08","0,27","0,299","0,081",0,0,"0,32","0,024","0,11","0,066","0,194","0,039","0,53","0,012","0,16","0,01",0,0,"0,017","0,069","December 1, 2005"
