name,count
html,1072675
css,719006
hibernate,87503
spring,185059
ruby,219518
ruby-on-rails,326255
ios,656272
swift,296450
html5,0
c,359290
c++,726181
asp.net,362967
c#,1480991
objective-c,291699
javascript,2222634
jquery,1012658
redux,29654
reactjs,307684
php,1404048
mysql,625545
spring-mvc,55783
.net,308270
react-native,100069
spring-boot,104965
less,7046
sass,22950
hadoop,43285
apache-spark,68705
sql-server,304547
express,76920
node.js,388627
mongodb,148476
iphone,221116
github,44481
git,133870
excel,246392
excel-vba,0
entity-framework,86622
linq,81331
wcf,50362
wpf,161677
android,1336337
java,1777893
scala,104383
ajax,215922
django,267070
python,1729243
vba,188192
xcode,150193
apache,89576
nginx,47167
angularjs,262180
asp.net-web-api,34927
laravel,174259
plsql,25292
oracle,134022
json,319098
xml,202243
flask,45517
wordpress,176761
java-ee,0
maven,79345
jsp,51773
bash,135523
linux,205121
angular2,0
typescript,149912
codeigniter,68242
tdd,5920
agile,1051
web-services,60126
rest,83195
testing,43297
selenium,86972
android-studio,78109
redis,20827
jenkins,44844
docker,97825
amazon-web-services,117273
angular,253958
osx,4
machine-learning,46263
qt,79389
windows,150194
ubuntu,53906
ionic-framework,42787
elasticsearch,50429
vue.js,78875
r,404559
embedded,9110
go,53896
visual-studio,102993
postgresql,137468
sql,591898
unix,45195
eclipse,122304
vb.net,134281
unity3d,57890
devops,5190
drupal,19909
shell,82895
bootstrap,100884
xamarin,46053
azure,104681
mvc,0
haskell,46712
api,91374
regex,240636
perl,65506
cloud,8000
photoshop,2335
powershell,92669
matlab,91040
